,mean
age,25.265198237885464
height_cm,183.32863436123347
weight_kg,76.88281938325991
overall,71.89427312775331
potential,77.25814977973569
value_eur,6319590.308370044
wage_eur,29499.162995594714
international_reputation,1.3118942731277532
weak_foot,2.9110132158590307
skill_moves,2.4123348017621145
release_clause_eur,12495850.364963504
team_jersey_number,20.23612334801762
contract_valid_until,2022.3709251101322
nation_jersey_number,9.45890410958904
pace,66.44493392070484
shooting,45.72687224669603
passing,59.52687224669604
dribbling,62.84493392070485
defending,70.37180616740088
physic,70.22819383259912
gk_diving,
gk_handling,
gk_kicking,
gk_reflexes,
gk_speed,
gk_positioning,
attacking_crossing,57.713656387665196
attacking_finishing,40.38149779735683
attacking_heading_accuracy,66.26607929515419
attacking_short_passing,66.97533039647577
attacking_volleys,40.39647577092511
skill_dribbling,60.651982378854626
skill_curve,50.5568281938326
skill_fk_accuracy,42.25110132158591
skill_long_passing,60.83612334801762
skill_ball_control,65.64669603524229
movement_acceleration,65.6044052863436
movement_sprint_speed,67.1215859030837
movement_agility,62.40440528634361
movement_reactions,68.62114537444934
movement_balance,62.865198237885465
power_shot_power,58.17885462555066
power_jumping,70.81409691629956
power_stamina,68.7409691629956
power_strength,70.82290748898679
power_long_shots,45.31013215859031
mentality_aggression,70.30220264317181
mentality_interceptions,70.05550660792952
mentality_positioning,49.86696035242291
mentality_vision,53.7568281938326
mentality_penalties,46.31806167400881
mentality_composure,65.35154185022026
defending_marking,
defending_standing_tackle,72.42643171806168
defending_sliding_tackle,70.71982378854625
goalkeeping_diving,10.46431718061674
goalkeeping_handling,10.251982378854626
goalkeeping_kicking,10.308370044052863
goalkeeping_positioning,10.395594713656388
goalkeeping_reflexes,10.459030837004406
